Biomolecule,Algorithm,PVal
C4H6O5[M]+,KMeans,0.246371188263412
C4H6O5[M]+,Recolorize,0.000180269632726065
C4H6O5[M]+,Supercells,0.170888402598085
C4H6O5[M]+,Binning,0.00203880933514043
C4H6O5[M]+,MultiOtsu,0.372145780566326
C4H6O5[M]+,PyTorch,0.429567748857665
C8H5NO2+Na,Truth,0.525197124006404
C8H5NO2+Na,Clara,2.99287855609227e-07
C8H5NO2+Na,KCC,1.68290204051678e-10
C8H5NO2+Na,KMeans,1.68290204051678e-10
C8H5NO2+Na,Recolorize,0.0624085882812192
C8H5NO2+Na,Supercells,2.05912533062739e-22
C8H5NO2+Na,Binning,0.00173725159849318
C8H5NO2+Na,MultiOtsu,7.34342452349598e-11
C8H5NO2+Na,PyTorch,0.113363932296489
C3H6O3[M]+,Truth,0.000801777180810061
C3H6O3[M]+,Clara,0.018043599277925
C3H6O3[M]+,KCC,0.00862811849095559
C3H6O3[M]+,KMeans,0.00862811849095559
C3H6O3[M]+,Recolorize,8.21366294158493e-06
C3H6O3[M]+,Supercells,0.000149005587786081
C3H6O3[M]+,Binning,1.41832371291756e-05
C3H6O3[M]+,MultiOtsu,0.0136146483370934
C3H6O3[M]+,PyTorch,0.00296433119840716
C8H10S2[M]+,Truth,0.525197124006404
C8H10S2[M]+,Clara,2.99287855609227e-07
C8H10S2[M]+,KCC,1.68290204051678e-10
C8H10S2[M]+,KMeans,1.68290204051678e-10
C8H10S2[M]+,Recolorize,0.0624085882812192
C8H10S2[M]+,Supercells,2.05912533062739e-22
C8H10S2[M]+,Binning,0.00173725159849318
C8H10S2[M]+,MultiOtsu,7.34342452349598e-11
C8H10S2[M]+,PyTorch,0.113363932296489
C12H13NO5+K,Truth,3.31410182149659e-07
C12H13NO5+K,Clara,0.769194251435411
C12H13NO5+K,KCC,0.0395216412051447
C12H13NO5+K,KMeans,0.0395216412051447
C12H13NO5+K,Recolorize,0.129139190960296
C12H13NO5+K,Supercells,0.373017231577516
C12H13NO5+K,Binning,0.180726807687252
C12H13NO5+K,MultiOtsu,0.100436264685254
C12H13NO5+K,PyTorch,0.00448835225628098
C13H16N2O4+H,Truth,0.66897918153717
C13H16N2O4+H,Clara,0.808443512222406
C13H16N2O4+H,KCC,0.145994714967994
C13H16N2O4+H,KMeans,0.145994714967994
C13H16N2O4+H,Recolorize,0.133512901725866
C13H16N2O4+H,Supercells,0.000569672712069902
C13H16N2O4+H,Binning,0.714234281482915
C13H16N2O4+H,MultiOtsu,0.18951704243866
C13H16N2O4+H,PyTorch,0.0296423363734529
C21H14O10[M]+,Truth,6.81772314696046e-09
C21H14O10[M]+,Clara,0.0206151249739699
C21H14O10[M]+,KCC,0.00133427401505205
C21H14O10[M]+,KMeans,0.00133427401505205
C21H14O10[M]+,Recolorize,0.0175116470429758
C21H14O10[M]+,Supercells,0.000407619969136379
C21H14O10[M]+,Binning,0.0547121807320824
C21H14O10[M]+,MultiOtsu,0.00255959477184755
C21H14O10[M]+,PyTorch,0.0012630796024685
CH4O[M]+,Truth,1.51593225097115e-06
CH4O[M]+,Clara,0.00402944567266839
CH4O[M]+,KCC,0.0138648098830743
CH4O[M]+,KMeans,0.0138648098830743
CH4O[M]+,Recolorize,0.543116541408081
CH4O[M]+,Supercells,0.000147502736746223
CH4O[M]+,Binning,0.055160128175633
CH4O[M]+,MultiOtsu,0.0108586521506094
CH4O[M]+,PyTorch,0.000424418334311526
C7H6O4[M]+,Truth,0.504276277780536
C7H6O4[M]+,Clara,0.327872179999245
C7H6O4[M]+,KCC,0.855269987135117
C7H6O4[M]+,KMeans,0.855269987135117
C7H6O4[M]+,Recolorize,0.783245442924523
C7H6O4[M]+,Supercells,0.00100610562718272
C7H6O4[M]+,Binning,0.777659784872539
C7H6O4[M]+,MultiOtsu,0.666028346391773
C7H6O4[M]+,PyTorch,0.299583829889981
C15H20O4[M]+,Truth,0.017004985160019
C15H20O4[M]+,Clara,0.0296657824906558
C15H20O4[M]+,KCC,0.0538713729981424
C15H20O4[M]+,KMeans,0.0538713729981424
C15H20O4[M]+,Recolorize,0.175260020286969
C15H20O4[M]+,Supercells,0.0260022472939947
C15H20O4[M]+,Binning,0.114423494357388
C15H20O4[M]+,MultiOtsu,0.0455149092292208
C15H20O4[M]+,PyTorch,0.0602571719755409
C5H10S2[M]+,Truth,0.432288457011176
C5H10S2[M]+,Clara,0.416667964262631
C5H10S2[M]+,KCC,0.31907501079754
C5H10S2[M]+,KMeans,0.31907501079754
C5H10S2[M]+,Recolorize,0.000358241829743702
C5H10S2[M]+,Supercells,0.266313886113294
C5H10S2[M]+,Binning,0.00462592057472619
C5H10S2[M]+,MultiOtsu,0.424196526541045
C5H10S2[M]+,PyTorch,0.412191577620042
C4H5N+Na,Truth,0.000801777180810061
C4H5N+Na,Clara,0.018043599277925
C4H5N+Na,KCC,0.00862811849095559
C4H5N+Na,KMeans,0.00862811849095559
C4H5N+Na,Recolorize,8.21366294158493e-06
C4H5N+Na,Supercells,0.000149005587786081
C4H5N+Na,Binning,1.41832371291756e-05
C4H5N+Na,MultiOtsu,0.0136146483370934
C4H5N+Na,PyTorch,0.00296433119840716
C5H5NO2+Na,Truth,0.398153200634314
C5H5NO2+Na,Clara,0.32857612118173
